Ticker,Cluster
ABBV,1
ABT,1
ACGL,1
AFL,1
AIG,1
AIZ,1
AJG,1
ALL,1
AMGN,1
AMP,1
AMZN,1
ANET,1
AOS,1
AXP,1
BA,1
BAC,1
BAX,1
BDX,1
BEN,1
BIIB,1
BIO,1
BK,1
BKNG,1
BMY,1
BRO,1
BSX,1
BX,1
C,1
CB,1
CBOE,1
CFG,1
CHTR,1
CINF,1
CMA,1
CMCSA,1
CNC,1
COF,1
COST,1
CVS,1
DE,1
DFS,1
DGX,1
DIS,1
DLTR,1
DVA,1
DXCM,1
ED,1
EFX,1
EL,1
EXPE,1
FTNT,1
GILD,1
GL,1
GOOGL,1
GPN,1
GRMN,1
GS,1
HBAN,1
HCA,1
HOLX,1
HUM,1
ICE,1
ILMN,1
INCY,1
INTU,1
IQV,1
ISRG,1
IT,1
ITW,1
IVZ,1
J,1
JNJ,1
JPM,1
KEY,1
LH,1
LLY,1
LMT,1
LULU,1
MDT,1
META,1
MGM,1
MMC,1
MO,1
MRK,1
MS,1
MTB,1
NKE,1
NTRS,1
OMC,1
PFE,1
PGR,1
PM,1
PNC,1
PRU,1
REGN,1
RJF,1
RMD,1
ROL,1
ROST,1
RVTY,1
SBUX,1
SCHW,1
STT,1
SWK,1
SYF,1
SYK,1
T,1
TFX,1
TMUS,1
TRV,1
TSLA,1
UHS,1
UNH,1
USB,1
VRSK,1
VRSN,1
VRTX,1
WAB,1
WFC,1
WMT,1
WRB,1
WTW,1
WYNN,1
YUM,1
ZBH,1
AAL,2
ADI,2
ADM,2
AEE,2
AEP,2
AES,2
ALB,2
ALLE,2
AME,2
APA,2
ATO,2
AVY,2
AWK,2
BBWI,2
BG,2
CAG,2
CAT,2
CCL,2
CE,2
CF,2
CL,2
CMS,2
CNP,2
COP,2
CPB,2
CTRA,2
CVX,2
D,2
DAL,2
DD,2
DHI,2
DOV,2
DPZ,2
DRI,2
DTE,2
DUK,2
DVN,2
EIX,2
EMN,2
EMR,2
EOG,2
EQT,2
ETR,2
FAST,2
FCX,2
FE,2
FMC,2
FTV,2
GD,2
GE,2
GIS,2
GM,2
HAL,2
HES,2
HON,2
HRL,2
HSY,2
IEX,2
IFF,2
IP,2
K,2
KHC,2
KMB,2
LEN,2
LUV,2
LYB,2
MAR,2
MAS,2
MCD,2
MCHP,2
MKC,2
MLM,2
MMM,2
MNST,2
MOS,2
MPC,2
MRO,2
NCLH,2
NDSN,2
NEE,2
NI,2
NOC,2
NRG,2
NSC,2
NUE,2
OKE,2
ON,2
OXY,2
PCAR,2
PCG,2
PEG,2
PG,2
PH,2
PHM,2
PKG,2
PNW,2
PPG,2
PPL,2
PSX,2
PWR,2
QRVO,2
RSG,2
SHW,2
SJM,2
SNA,2
SO,2
SRE,2
STLD,2
STZ,2
SWKS,2
TDG,2
TRGP,2
TSN,2
TXT,2
UAL,2
UNP,2
VLO,2
VMC,2
WEC,2
WMB,2
XEL,2
XOM,2
A,3
AAPL,3
ACN,3
ADBE,3
ADP,3
ADSK,3
AKAM,3
AMAT,3
AMT,3
ANSS,3
APD,3
APH,3
APTV,3
ARE,3
AVB,3
AVGO,3
AZO,3
BALL,3
BBY,3
BLK,3
BR,3
BRK-B,3
BWA,3
BXP,3
CAH,3
CBRE,3
CCI,3
CDNS,3
CDW,3
CHD,3
CHRW,3
CI,3
CLX,3
CME,3
CMG,3
CMI,3
COO,3
COR,3
CPRT,3
CPT,3
CRM,3
CSCO,3
CSGP,3
CSX,3
CTAS,3
CTSH,3
DG,3
DHR,3
DLR,3
EA,3
EBAY,3
ECL,3
EG,3
ELV,3
EQIX,3
EQR,3
ES,3
ESS,3
ETN,3
EW,3
EXC,3
EXPD,3
EXR,3
F,3
FDS,3
FDX,3
FFIV,3
FI,3
FIS,3
FITB,3
FRT,3
GEN,3
GLW,3
GPC,3
GWW,3
HAS,3
HD,3
HIG,3
HLT,3
HPE,3
HPQ,3
HSIC,3
HST,3
HUBB,3
IBM,3
IDXX,3
INTC,3
IPG,3
IRM,3
JBHT,3
JCI,3
JKHY,3
JNPR,3
KEYS,3
KIM,3
KLAC,3
KMI,3
KMX,3
KO,3
KR,3
L,3
LDOS,3
LKQ,3
LNT,3
LOW,3
LRCX,3
LVS,3
MA,3
MAA,3
MCK,3
MCO,3
MDLZ,3
MET,3
MHK,3
MSCI,3
MSFT,3
MSI,3
MTD,3
MU,3
NDAQ,3
NEM,3
NFLX,3
NOW,3
NTAP,3
NVDA,3
NVR,3
NWSA,3
NXPI,3
O,3
ORCL,3
ORLY,3
PANW,3
PARA,3
PAYX,3
PEP,3
PFG,3
PLD,3
PNR,3
PSA,3
PTC,3
PYPL,3
QCOM,3
RCL,3
REG,3
RF,3
RHI,3
RL,3
ROK,3
ROP,3
SBAC,3
SLB,3
SNPS,3
SPG,3
SPGI,3
STX,3
SYY,3
TAP,3
TEL,3
TER,3
TGT,3
TJX,3
TMO,3
TPR,3
TRMB,3
TROW,3
TSCO,3
TT,3
TXN,3
UDR,3
ULTA,3
UPS,3
URI,3
V,3
VTR,3
VZ,3
WAT,3
WBA,3
WDC,3
WELL,3
WM,3
WY,3
XYL,3
ZTS,3
